hospital_name,node_name,latitude,longitude
Rumah Sakit UBAYA,2,-7.309728893743635,112.73045472910741  
Rumah Sakit UBAYA,3,-7.309992078082717,112.73254098592012  
Rumah Sakit UBAYA,4,-7.309356603697332,112.73273508879385
Rumah Sakit UBAYA,5,-7.3093974543801075,112.73292399715804
Rumah Sakit UBAYA,6,-7.300666554308816,112.73972527871601
Rumah Sakit UBAYA,7,-7.30861464439826,112.76974983957238
Rumah Sakit UBAYA,8,-7.309953126368001,112.7696572304064
Rumah Sakit UBAYA,9,-7.310569876513964,112.76829455267809
Rumah Sakit UBAYA,10,-7.311265359699393,112.7681357941078
Rumah Sakit UBAYA,11,-7.311107891903208,112.76722293232866
Rumah Sakit UBAYA,Rumah Sakit UBAYA,-7.314034159376157,112.7657279557918     
Premier Hospital Suarabaya,Klinik Unesa,-7.3112852394190355,112.72943040972358  
Premier Hospital Suarabaya,1,-7.3100815796328025,112.72987080180941  
Premier Hospital Suarabaya,2,-7.309728893743635,112.73045472910741  
Premier Hospital Suarabaya,3,-7.309992078082717,112.73254098592012  
Premier Hospital Suarabaya,4,-7.309356603697332,112.73273508879385
Premier Hospital Suarabaya,5,-7.3093974543801075,112.73292399715804
Premier Hospital Suarabaya,6,-7.300666554308816,112.73972527871601
Premier Hospital Suarabaya,7,-7.308190240749297,112.76818163313726
Premier Hospital Suarabaya,8,-7.307338905724228,112.76822454848225
Premier Hospital Suarabaya,9,-7.306445002202107,112.76470549019288
Premier Hospital Suarabaya,10,-7.305806498591497,112.76461965950291
Premier Hospital Suarabaya,Premier Hospital Suarabaya,-7.3052956950461825,112.76513464364281
RSI Darus Syifa,Klinik Unesa,-7.3112852394190355,112.72943040972358
RSI Darus Syifa,1,-7.310074145443754,112.7298720296243
RSI Darus Syifa,2,-7.307608964349635,112.72403254191602
RSI Darus Syifa,3,-7.308999365009108,112.71893063063882
RSI Darus Syifa,4,-7.307417292501601,112.71873996036662
RSI Darus Syifa,5,-7.307254252950657,112.71376531932367
RSI Darus Syifa,6,-7.308967636429148,112.71168660144255
RSI Darus Syifa,7,-7.30888638996949,112.7112516385413
RSI Darus Syifa,8,-7.3074350784565505,112.70757654454799
RSI Darus Syifa,9,-7.308074508845883,112.70610502234962
RSI Darus Syifa,10,-7.306184016316744,112.70061834660359
RSI Darus Syifa,11,-7.304404721956728,112.69913280990477
RSI Darus Syifa,12,-7.302269333670001,112.69860824364459
RSI Darus Syifa,13,-7.293934328861173,112.69802119387442
RSI Darus Syifa,14,-7.290006949707702,112.69956230524096
RSI Darus Syifa,15,-7.284724457840447,112.7064854669149
RSI Darus Syifa,16,-7.280653195605427,112.70825411066066
RSI Darus Syifa,17,-7.261096295362021,112.70941856561605
RSI Darus Syifa,18,-7.2604515279328,112.70801027679741
RSI Darus Syifa,19,-7.2658230683381895,112.70708345989482
RSI Darus Syifa,20,-7.266633150890106,112.70580850022223
RSI Darus Syifa,21,-7.26733736373832,112.70258380216426
RSI Darus Syifa,22,-7.266413329817817,112.70108743051082
RSI Darus Syifa,23,-7.266383839350929,112.7010279720128
RSI Darus Syifa,24,-7.266324858396277,112.70054239444264
RSI Darus Syifa,25,-7.264642102517486,112.69710824811793
RSI Darus Syifa,26,-7.262869050627448,112.69546961871579
RSI Darus Syifa,27,-7.261826395451709,112.69370379207776
RSI Darus Syifa,28,-7.260978367407989,112.69296102368796
RSI Darus Syifa,29,-7.26018594634028,112.68956951535093
RSI Darus Syifa,30,-7.257794772577418,112.67179913283721
RSI Darus Syifa,31,-7.249646866002008,112.6434708426378
RSI Darus Syifa,32,-7.234571134840039,112.61394771702406
RSI Darus Syifa,RS Darus Syifa,-7.2348038111556185,112.61269231809507
Rumah Sakit Bunda,Klinik Unesa,-7.3112852394190355,112.72943040972358
Rumah Sakit Bunda,1,-7.310075639005821,112.72986853000302
Rumah Sakit Bunda,2,-7.309683649053946,112.7307225793211
Rumah Sakit Bunda,3,-7.309998940536553,112.73257771854578
Rumah Sakit Bunda,4,-7.3080305411274615,112.73296426729907
Rumah Sakit Bunda,5,-7.30819150198407,112.73396614117722
Rumah Sakit Bunda,6,-7.30699579014925,112.73496658860684
Rumah Sakit Bunda,7,-7.305395480696669,112.73617313911345
Rumah Sakit Bunda,8,-7.298378887634064,112.73774271428401
Rumah Sakit Bunda,9,-7.297103418432883,112.73910239436776
Rumah Sakit Bunda,10,-7.295937043590387,112.73893549286127
Rumah Sakit Bunda,11,-7.284482612066253,112.73326823855044
Rumah Sakit Bunda,12,-7.280788565314566,112.73140819771987
